iter	Logloss
0	0.6812212118
1	0.6708194987
2	0.6619573466
3	0.6553105672
4	0.6495220947
5	0.6443714396
6	0.6401023356
7	0.6354190063
8	0.6312846883
9	0.6286241659
10	0.6253937785
11	0.6228582764
12	0.6204323324
13	0.6177892049
14	0.6154556783
15	0.6132291667
16	0.6118752035
17	0.6102451579
18	0.608866984
19	0.6078888957
20	0.6063360087
21	0.6052758789
22	0.6037062073
23	0.6031924438
24	0.6019398499
25	0.6011586507
26	0.6003873698
27	0.5989240519
28	0.5981004842
29	0.5977522278
30	0.5967434692
31	0.5962605286
32	0.59550059
33	0.5948739115
34	0.5944565837
35	0.5937446086
36	0.5932097371
37	0.5925154622
38	0.5919853719
39	0.591475118
40	0.5911464437
41	0.5908913167
42	0.5901054382
43	0.5895925903
44	0.5892826335
45	0.5886528524
46	0.5880012512
47	0.5874485779
48	0.5869645182
49	0.586254069
50	0.5860316467
51	0.5857937113
52	0.5856491089
53	0.585297699
54	0.5848989868
55	0.5840228271
56	0.5836278788
57	0.5831491089
58	0.5827181498
59	0.5825643921
60	0.5822432454
61	0.5815702311
62	0.5810158793
63	0.5802908834
64	0.5800432332
65	0.5796935018
66	0.5795154826
67	0.5794399007
68	0.5790219625
69	0.5789332072
70	0.5786095174
71	0.5782704671
72	0.5780114237
73	0.5774839274
74	0.5770860291
75	0.576708374
76	0.5758610535
77	0.5755566915
78	0.5753464254
79	0.5746069845
80	0.5743502808
81	0.5737251282
82	0.5734009806
83	0.5733748372
84	0.5733163961
85	0.5727560425
86	0.5726727804
87	0.5724213664
88	0.5722922262
89	0.571954244
90	0.5719267273
91	0.5716893514
92	0.5713040161
93	0.5707833354
94	0.5705788167
95	0.5701922607
96	0.5699543254
97	0.569426829
98	0.5692237345
99	0.5687055969
100	0.5684214274
101	0.5684176636
102	0.5683007304
103	0.5677661133
104	0.567674408
105	0.5671898905
106	0.5665757243
107	0.5660245768
108	0.5655360921
109	0.565236613
110	0.5649527486
111	0.5645555623
112	0.5640032959
113	0.5634891764
114	0.5629783122
115	0.5625814819
116	0.5620079549
117	0.5614064535
118	0.5608994548
119	0.5606651815
120	0.5603700765
121	0.5600992839
122	0.5595318604
123	0.5589173381
124	0.5585191854
125	0.558266805
126	0.5577162679
127	0.5571510824
128	0.5565813192
129	0.5560847982
130	0.555542806
131	0.5550039673
132	0.5546695964
133	0.5540600586
134	0.5536391195
135	0.5531456502
136	0.5526389058
137	0.5522583008
138	0.5517284139
139	0.5511727905
140	0.5507721965
141	0.5503302002
142	0.5495796712
143	0.5491024272
144	0.5486025492
145	0.5480108643
146	0.5475339762
147	0.5472650655
148	0.5468874105
149	0.5464837646
150	0.546133372
151	0.5458868917
152	0.5452444458
153	0.5448276265
154	0.5442499797
155	0.5437324015
156	0.5431892904
157	0.5426586914
158	0.542300059
159	0.5420254517
160	0.5416338603
161	0.5410657756
162	0.5407529704
163	0.5404880778
164	0.5400402323
165	0.5396941121
166	0.5392643229
167	0.5388995361
168	0.5385770671
169	0.5383136495
170	0.5380123393
171	0.5374712626
172	0.5370998637
173	0.5367377218
174	0.5363206482
175	0.5360623169
176	0.5358707682
177	0.5354429118
178	0.5350062561
179	0.5345344543
180	0.5342424011
181	0.5340458679
182	0.5334361776
183	0.5329221598
184	0.5325676473
185	0.5322173564
186	0.5319022624
187	0.5314705404
188	0.5312650553
189	0.5307213338
190	0.530443929
191	0.5299542745
192	0.5297916158
193	0.5293185933
194	0.5289895121
195	0.5287287394
196	0.5282773844
197	0.5277512614
198	0.5275041199
199	0.5271515401
200	0.5268190002
201	0.5265941874
202	0.5261618042
203	0.52581309
204	0.5254096985
205	0.5251297506
206	0.5247399902
207	0.5243805949
208	0.5240124512
209	0.523789978
210	0.5233442179
211	0.5230711873
212	0.522825826
213	0.5223639425
214	0.5221161397
215	0.5218255615
216	0.5216492716
217	0.5212779744
218	0.520958252
219	0.5204126994
220	0.5201732381
221	0.5199092611
222	0.5193314616
223	0.5190553792
224	0.5187032064
225	0.5183019002
226	0.518022054
227	0.5174914042
228	0.5167914836
229	0.5165235392
230	0.5162119548
231	0.5159689331
232	0.5154523722
233	0.5152289836
234	0.5148916626
235	0.5145905558
236	0.5143555705
237	0.5139869181
238	0.5136825562
239	0.5133231608
240	0.5130253092
241	0.5125258382
242	0.5123374939
243	0.5119684347
244	0.5115322367
245	0.511349233
246	0.510965627
247	0.5105093384
248	0.510249939
249	0.5100003052
250	0.5095119222
251	0.5092078654
252	0.5088537598
253	0.5086027018
254	0.5083129883
255	0.507983195
256	0.5077006022
257	0.5070809937
258	0.5069578044
259	0.5066441854
260	0.5063715617
261	0.5060476685
262	0.5058635457
263	0.5055978394
264	0.5052681986
265	0.5050586446
266	0.5048549398
267	0.5046853129
268	0.5043737793
269	0.5038245646
270	0.5033918762
271	0.5032026164
272	0.5030089315
273	0.5028166199
274	0.5025009155
275	0.502230072
276	0.5019317627
277	0.5016387431
278	0.501367391
279	0.5009824626
280	0.5006822713
281	0.5004445394
282	0.5001901245
283	0.4998285929
284	0.4994266256
285	0.4990861003
286	0.4988813782
287	0.4985223389
288	0.4983542887
289	0.4979564412
290	0.497644755
291	0.4973581441
292	0.4970151774
293	0.4968356323
294	0.4965140788
295	0.4961952718
296	0.4957777913
297	0.495287679
298	0.4950870768
299	0.494728953
300	0.4942620341
301	0.4940575155
302	0.4937848409
303	0.4933681234
304	0.4932157389
305	0.4930193075
306	0.492630717
307	0.4922319539
308	0.4917188517
309	0.4916658529
310	0.4913534037
311	0.4910579936
312	0.4908012899
313	0.4905834961
314	0.4903740946
315	0.4902007039
316	0.4899859619
317	0.4897555542
318	0.4895451864
319	0.4891955058
320	0.4888138326
321	0.4885413615
322	0.4882864889
323	0.4880026245
324	0.4876404317
325	0.487295634
326	0.4871235148
327	0.4867510478
328	0.4865893555
329	0.4864219157
330	0.4863771057
331	0.4862137349
332	0.4858131917
333	0.4855976359
334	0.4852721151
335	0.4848278809
336	0.484637146
337	0.484389445
338	0.4840290833
339	0.4836241659
340	0.4834890747
341	0.4830656433
342	0.4828459167
343	0.4826369731
344	0.4823352051
345	0.4820742798
346	0.4817592875
347	0.4814050293
348	0.4808564758
349	0.4805989583
350	0.480382843
351	0.4800424194
352	0.4797994995
353	0.4795237732
354	0.4793789673
355	0.4791067505
356	0.4789118958
357	0.4786749268
358	0.4784629822
359	0.478274231
360	0.4780221558
361	0.4776210022
362	0.477243398
363	0.476958669
364	0.476644694
365	0.4765068054
366	0.4762691243
367	0.4758705139
368	0.4755737305
369	0.4754771423
370	0.4752548726
371	0.4750765483
372	0.4750161743
373	0.4746922811
374	0.4743237305
375	0.4741190084
376	0.4739653524
377	0.4736974589
378	0.4733424886
379	0.4730448914
380	0.4728251648
381	0.4725112406
382	0.4722890727
383	0.4720610555
384	0.471730245
385	0.4714975484
386	0.4711764526
387	0.4706939697
388	0.4705036418
389	0.470333608
390	0.4701494344
391	0.4699224854
392	0.4696253459
393	0.4693471273
394	0.4690290833
395	0.4688095093
396	0.4684742228
397	0.4682791138
398	0.4678665161
399	0.4676849365
